"","Country","scenario","year","fleet","effort"
"1","SP","max",2019,"Static_all",2771.78527369704
"2","IE","max",2019,"Otter_24<40m",9276.74154055566
"3","FR","max",2019,"Otter_10<24m",14591.2168065017
"4","FR","max",2019,"Otter_24<40m",15905.2121131887
"5","IE","max",2019,"Otter_10<24m",12313.9613999982
"6","EN","max",2019,"Otter_24<40m",1697.96815696472
"7","BE","max",2019,"Beam_10<24m",231.609707875893
"8","BE","max",2019,"Beam_24<40m",10502.1620894119
"9","BE","max",2019,"Otter_24<40m",652.750922112106
"10","EN","max",2019,"Beam_10<24m",1037.24131
"11","EN","max",2019,"Beam_24<40m",3287.53843
"12","EN","max",2019,"Other_all",3542.82908697233
"13","EN","max",2019,"Otter_<10m",426.61262
"14","EN","max",2019,"Otter_10<24m",2370.0298555533
"15","EN","max",2019,"Static_all",3876.25152493074
"16","FR","max",2019,"Other_all",12042.1594623761
"17","FR","max",2019,"Otter_all",4327.435
"18","IE","max",2019,"Beam_10<24m",414.121454340318
"19","IE","max",2019,"Beam_24<40m",1880.38829491944
"20","SP","max",2019,"Static_24<40m",365.721231360387
"21","OT","max",2019,"_OTH",1000
"22","SP","min",2019,"Static_all",1713.64755679618
"23","IE","min",2019,"Otter_24<40m",0
"24","FR","min",2019,"Otter_10<24m",0
"25","FR","min",2019,"Otter_24<40m",0
"26","IE","min",2019,"Otter_10<24m",0
"27","EN","min",2019,"Otter_24<40m",0
"28","BE","min",2019,"Beam_10<24m",0
"29","BE","min",2019,"Beam_24<40m",0
"30","BE","min",2019,"Otter_24<40m",0
"31","EN","min",2019,"Beam_10<24m",0
"32","EN","min",2019,"Beam_24<40m",0
"33","EN","min",2019,"Other_all",0
"34","EN","min",2019,"Otter_<10m",0
"35","EN","min",2019,"Otter_10<24m",0
"36","EN","min",2019,"Static_all",0
"37","FR","min",2019,"Other_all",6514.61206707079
"38","FR","min",2019,"Otter_all",2764.81545983312
"39","IE","min",2019,"Beam_10<24m",0
"40","IE","min",2019,"Beam_24<40m",0
"41","SP","min",2019,"Static_24<40m",293.741734087051
"42","OT","min",2019,"_OTH",0
"43","SP","cod-cs",2019,"Static_all",2686.725953399
"44","IE","cod-cs",2019,"Otter_24<40m",0
"45","FR","cod-cs",2019,"Otter_10<24m",0
"46","FR","cod-cs",2019,"Otter_24<40m",0
"47","IE","cod-cs",2019,"Otter_10<24m",0
"48","EN","cod-cs",2019,"Otter_24<40m",0
"49","BE","cod-cs",2019,"Beam_10<24m",0
"50","BE","cod-cs",2019,"Beam_24<40m",0
"51","BE","cod-cs",2019,"Otter_24<40m",0
"52","EN","cod-cs",2019,"Beam_10<24m",0
"53","EN","cod-cs",2019,"Beam_24<40m",0
"54","EN","cod-cs",2019,"Other_all",0
"55","EN","cod-cs",2019,"Otter_<10m",0
"56","EN","cod-cs",2019,"Otter_10<24m",0
"57","EN","cod-cs",2019,"Static_all",0
"58","FR","cod-cs",2019,"Other_all",11672.615
"59","FR","cod-cs",2019,"Otter_all",4327.435
"60","IE","cod-cs",2019,"Beam_10<24m",0
"61","IE","cod-cs",2019,"Beam_24<40m",0
"62","SP","cod-cs",2019,"Static_24<40m",354.49814
"63","OT","cod-cs",2019,"_OTH",0
"64","SP","had-cs",2019,"Static_all",1713.64755679618
"65","IE","had-cs",2019,"Otter_24<40m",8954.02575005915
"66","FR","had-cs",2019,"Otter_10<24m",14119.3218413489
"67","FR","had-cs",2019,"Otter_24<40m",14060.8421799966
"68","IE","had-cs",2019,"Otter_10<24m",12209.8950400504
"69","EN","had-cs",2019,"Otter_24<40m",756.497117117774
"70","BE","had-cs",2019,"Beam_10<24m",162.0361222817
"71","BE","had-cs",2019,"Beam_24<40m",7078.24405763558
"72","BE","had-cs",2019,"Otter_24<40m",451.335812315938
"73","EN","had-cs",2019,"Beam_10<24m",779.331485416962
"74","EN","had-cs",2019,"Beam_24<40m",2470.09271932801
"75","EN","had-cs",2019,"Other_all",3542.82908697233
"76","EN","had-cs",2019,"Otter_<10m",180.994793377685
"77","EN","had-cs",2019,"Otter_10<24m",944.862674103596
"78","EN","had-cs",2019,"Static_all",3876.25152493074
"79","FR","had-cs",2019,"Other_all",8333.22935829055
"80","FR","had-cs",2019,"Otter_all",4327.435
"81","IE","had-cs",2019,"Beam_10<24m",414.121454340318
"82","IE","had-cs",2019,"Beam_24<40m",1880.38829491944
"83","SP","had-cs",2019,"Static_24<40m",354.49814
"84","OT","had-cs",2019,"_OTH",648.669505791715
"85","SP","whg-cs",2019,"Static_all",2686.725953399
"86","IE","whg-cs",2019,"Otter_24<40m",7144.14032520427
"87","FR","whg-cs",2019,"Otter_10<24m",8331.3696402255
"88","FR","whg-cs",2019,"Otter_24<40m",9176.4692490956
"89","IE","whg-cs",2019,"Otter_10<24m",9303.01554969591
"90","EN","whg-cs",2019,"Otter_24<40m",1139.92779053531
"91","BE","whg-cs",2019,"Beam_10<24m",120.685122040336
"92","BE","whg-cs",2019,"Beam_24<40m",5179.24296380901
"93","BE","whg-cs",2019,"Otter_24<40m",378.464688868346
"94","EN","whg-cs",2019,"Beam_10<24m",402.128020537603
"95","EN","whg-cs",2019,"Beam_24<40m",1274.54557444998
"96","EN","whg-cs",2019,"Other_all",2295.02585254371
"97","EN","whg-cs",2019,"Otter_<10m",291.989012688895
"98","EN","whg-cs",2019,"Otter_10<24m",1490.30713139411
"99","EN","whg-cs",2019,"Static_all",1181.14201752007
"100","FR","whg-cs",2019,"Other_all",6514.61206707079
"101","FR","whg-cs",2019,"Otter_all",2764.81545983312
"102","IE","whg-cs",2019,"Beam_10<24m",303.73368895288
"103","IE","whg-cs",2019,"Beam_24<40m",1379.15403197234
"104","SP","whg-cs",2019,"Static_24<40m",354.49814
"105","OT","whg-cs",2019,"_OTH",0
"106","SP","sq_E",2019,"Static_all",2686.725953399
"107","IE","sq_E",2019,"Otter_24<40m",8992.061
"108","FR","sq_E",2019,"Otter_10<24m",14143.448
"109","FR","sq_E",2019,"Otter_24<40m",15417.12
"110","IE","sq_E",2019,"Otter_10<24m",11936.076
"111","EN","sq_E",2019,"Otter_24<40m",1658.1272964744
"112","BE","sq_E",2019,"Beam_10<24m",224.50217162
"113","BE","sq_E",2019,"Beam_24<40m",10179.876385154
"114","BE","sq_E",2019,"Otter_24<40m",632.719590578
"115","EN","sq_E",2019,"Beam_10<24m",1037.24131
"116","EN","sq_E",2019,"Beam_24<40m",3287.53843
"117","EN","sq_E",2019,"Other_all",3157.3903243
"118","EN","sq_E",2019,"Otter_<10m",426.61262
"119","EN","sq_E",2019,"Otter_10<24m",2370.0298555533
"120","EN","sq_E",2019,"Static_all",2441.5162020047
"121","FR","sq_E",2019,"Other_all",11672.615
"122","FR","sq_E",2019,"Otter_all",4327.435
"123","IE","sq_E",2019,"Beam_10<24m",377.072
"124","IE","sq_E",2019,"Beam_24<40m",1712.159
"125","SP","sq_E",2019,"Static_24<40m",354.49814
"126","OT","sq_E",2019,"_OTH",1000
"127","SP","val",2019,"Static_all",2226.5014389279
"128","IE","val",2019,"Otter_24<40m",6869.05560981662
"129","FR","val",2019,"Otter_10<24m",10428.9813113855
"130","FR","val",2019,"Otter_24<40m",13228.9308520751
"131","IE","val",2019,"Otter_10<24m",9084.57896301048
"132","EN","val",2019,"Otter_24<40m",1584.27825847888
"133","BE","val",2019,"Beam_10<24m",203.821954979086
"134","BE","val",2019,"Beam_24<40m",9578.68865015925
"135","BE","val",2019,"Otter_24<40m",562.3721087208
"136","EN","val",2019,"Beam_10<24m",973.830414822784
"137","EN","val",2019,"Beam_24<40m",3028.81283833435
"138","EN","val",2019,"Other_all",2557.90821386967
"139","EN","val",2019,"Otter_<10m",314.920630448685
"140","EN","val",2019,"Otter_10<24m",1619.880323728
"141","EN","val",2019,"Static_all",2140.38748752144
"142","FR","val",2019,"Other_all",9555.26251037152
"143","FR","val",2019,"Otter_all",4002.77330579065
"144","IE","val",2019,"Beam_10<24m",322.981493798376
"145","IE","val",2019,"Beam_24<40m",1492.00591310265
"146","SP","val",2019,"Static_24<40m",293.741734087051
"147","OT","val",2019,"_OTH",1000
