"","fleet","stock","effort","st.n","Country"
"1","Static_all","COD-CS",NA,"1","SP"
"2","Static_all","HAD-CS",1189.14258204923,"2","SP"
"3","Static_all","MON-CS",2851.52999399188,"3","SP"
"4","Static_all","N-HKE",3319.11145650307,"4","SP"
"5","Static_all","N-MEG",2632.61936217573,"5","SP"
"6","Static_all","SOL-7E",NA,"6","SP"
"7","Static_all","SOL-7FG",NA,"7","SP"
"8","Static_all","WHG-CS",NA,"8","SP"
"9","Otter_24<40m","COD-CS",0,"1","IE"
"10","Otter_24<40m","HAD-CS",6213.420757339,"2","IE"
"11","Otter_24<40m","MON-CS",9543.63492743494,"3","IE"
"12","Otter_24<40m","N-HKE",7875.30175464872,"4","IE"
"13","Otter_24<40m","N-MEG",6843.69194849926,"5","IE"
"14","Otter_24<40m","SOL-7E",12102.1503847929,"6","IE"
"15","Otter_24<40m","SOL-7FG",5153.93958590104,"7","IE"
"16","Otter_24<40m","WHG-CS",10425.9064661049,"8","IE"
"17","Otter_10<24m","COD-CS",0,"1","FR"
"18","Otter_10<24m","HAD-CS",9797.7479468392,"2","FR"
"19","Otter_10<24m","MON-CS",15011.008524871,"3","FR"
"20","Otter_10<24m","N-HKE",16536.8395062729,"4","FR"
"21","Otter_10<24m","N-MEG",11341.424917488,"5","FR"
"22","Otter_10<24m","SOL-7E",18381.7429049446,"6","FR"
"23","Otter_10<24m","SOL-7FG",9412.77226512477,"7","FR"
"24","Otter_10<24m","WHG-CS",12158.507063067,"8","FR"
"25","Otter_24<40m","COD-CS",0,"1","FR"
"26","Otter_24<40m","HAD-CS",9757.16745803213,"2","FR"
"27","Otter_24<40m","MON-CS",16362.8076936373,"3","FR"
"28","Otter_24<40m","N-HKE",17647.2766252553,"4","FR"
"29","Otter_24<40m","N-MEG",11952.5050289597,"5","FR"
"30","Otter_24<40m","SOL-7E",20055.5893411238,"6","FR"
"31","Otter_24<40m","SOL-7FG",10189.8960008526,"7","FR"
"32","Otter_24<40m","WHG-CS",13391.8156314243,"8","FR"
"33","Otter_10<24m","COD-CS",0,"1","IE"
"34","Otter_10<24m","HAD-CS",8472.74928668574,"2","IE"
"35","Otter_10<24m","MON-CS",12668.2361040609,"3","IE"
"36","Otter_10<24m","N-HKE",10745.3047603175,"4","IE"
"37","Otter_10<24m","N-MEG",8876.98732444992,"5","IE"
"38","Otter_10<24m","SOL-7E",16064.4135706283,"6","IE"
"39","Otter_10<24m","SOL-7FG",6872.49021428022,"7","IE"
"40","Otter_10<24m","WHG-CS",13576.4928401062,"8","IE"
"41","Otter_24<40m","COD-CS",0,"1","EN"
"42","Otter_24<40m","HAD-CS",524.952130089155,"2","EN"
"43","Otter_24<40m","MON-CS",1746.81898138882,"3","EN"
"44","Otter_24<40m","N-HKE",2046.3083624718,"4","EN"
"45","Otter_24<40m","N-MEG",1575.09128110816,"5","EN"
"46","Otter_24<40m","SOL-7E",2231.6247519966,"6","EN"
"47","Otter_24<40m","SOL-7FG",NA,"7","EN"
"48","Otter_24<40m","WHG-CS",1663.57042012539,"8","EN"
"49","Beam_10<24m","COD-CS",0,"1","BE"
"50","Beam_10<24m","HAD-CS",112.440887900863,"2","BE"
"51","Beam_10<24m","MON-CS",238.273157439393,"3","BE"
"52","Beam_10<24m","N-HKE",65.368051492437,"4","BE"
"53","Beam_10<24m","N-MEG",216.005982241002,"5","BE"
"54","Beam_10<24m","SOL-7E",302.150868711614,"6","BE"
"55","Beam_10<24m","SOL-7FG",152.059082291533,"7","BE"
"56","Beam_10<24m","WHG-CS",176.123611374757,"8","BE"
"57","Beam_24<40m","COD-CS",0,"1","BE"
"58","Beam_24<40m","HAD-CS",4911.76927349509,"2","BE"
"59","Beam_24<40m","MON-CS",10804.311027953,"3","BE"
"60","Beam_24<40m","N-HKE",1731.73761673641,"4","BE"
"61","Beam_24<40m","N-MEG",9133.23295213504,"5","BE"
"62","Beam_24<40m","SOL-7E",13700.7961702813,"6","BE"
"63","Beam_24<40m","SOL-7FG",6895.00083583988,"7","BE"
"64","Beam_24<40m","WHG-CS",7558.4045452468,"8","BE"
"65","Otter_24<40m","COD-CS",0,"1","BE"
"66","Otter_24<40m","HAD-CS",313.193124864063,"2","BE"
"67","Otter_24<40m","MON-CS",671.530673992596,"3","BE"
"68","Otter_24<40m","N-HKE",781.645347633822,"4","BE"
"69","Otter_24<40m","N-MEG",619.97757637925,"5","BE"
"70","Otter_24<40m","SOL-7E",851.558684552912,"6","BE"
"71","Otter_24<40m","SOL-7FG",428.551579688124,"7","BE"
"72","Otter_24<40m","WHG-CS",552.318021098229,"8","BE"
"73","Beam_10<24m","COD-CS",0,"1","EN"
"74","Beam_10<24m","HAD-CS",540.797465129649,"2","EN"
"75","Beam_10<24m","MON-CS",948.491474399651,"3","EN"
"76","Beam_10<24m","N-HKE",685.128889524399,"4","EN"
"77","Beam_10<24m","N-MEG",920.750112728842,"5","EN"
"78","Beam_10<24m","SOL-7E",1395.99256710331,"6","EN"
"79","Beam_10<24m","SOL-7FG",697.733072995579,"7","EN"
"80","Beam_10<24m","WHG-CS",586.851452894034,"8","EN"
"81","Beam_24<40m","COD-CS",0,"1","EN"
"82","Beam_24<40m","HAD-CS",1714.0586595614,"2","EN"
"83","Beam_24<40m","MON-CS",3172.79712060373,"3","EN"
"84","Beam_24<40m","N-HKE",1764.88902651239,"4","EN"
"85","Beam_24<40m","N-MEG",2878.70223070193,"5","EN"
"86","Beam_24<40m","SOL-7E",4424.60126500987,"6","EN"
"87","Beam_24<40m","SOL-7FG",2211.46638611507,"7","EN"
"88","Beam_24<40m","WHG-CS",1860.02686693077,"8","EN"
"89","Other_all","COD-CS",0,"1","EN"
"90","Other_all","HAD-CS",2458.45705643105,"2","EN"
"91","Other_all","MON-CS",1947.84439792943,"3","EN"
"92","Other_all","N-HKE",3900.55799504899,"4","EN"
"93","Other_all","N-MEG",1754.85230184603,"5","EN"
"94","Other_all","SOL-7E",4249.43875805209,"6","EN"
"95","Other_all","SOL-7FG",2138.55336759003,"7","EN"
"96","Other_all","WHG-CS",3349.27979948788,"8","EN"
"97","Otter_<10m","COD-CS",0,"1","EN"
"98","Otter_<10m","HAD-CS",125.596780435411,"2","EN"
"99","Otter_<10m","MON-CS",316.128562302041,"3","EN"
"100","Otter_<10m","N-HKE",527.003223989935,"4","EN"
"101","Otter_<10m","N-MEG",118.90820565734,"5","EN"
"102","Otter_<10m","SOL-7E",574.165375800999,"6","EN"
"103","Otter_<10m","SOL-7FG",288.951875267329,"7","EN"
"104","Otter_<10m","WHG-CS",426.118468681913,"8","EN"
"105","Otter_10<24m","COD-CS",0,"1","EN"
"106","Otter_10<24m","HAD-CS",655.663666376137,"2","EN"
"107","Otter_10<24m","MON-CS",1973.63834814862,"3","EN"
"108","Otter_10<24m","N-HKE",2896.48574946739,"4","EN"
"109","Otter_10<24m","N-MEG",1913.16601849902,"5","EN"
"110","Otter_10<24m","SOL-7E",3189.7534645678,"6","EN"
"111","Otter_10<24m","SOL-7FG",1605.26093016583,"7","EN"
"112","Otter_10<24m","WHG-CS",2174.90167471479,"8","EN"
"113","Static_all","COD-CS",0,"1","EN"
"114","Static_all","HAD-CS",2689.82716355406,"2","EN"
"115","Static_all","MON-CS",2350.35638101089,"3","EN"
"116","Static_all","N-HKE",2990.32661819475,"4","EN"
"117","Static_all","N-MEG",2162.21844394024,"5","EN"
"118","Static_all","SOL-7E",3285.96483537748,"6","EN"
"119","Static_all","SOL-7FG",1653.67983034544,"7","EN"
"120","Static_all","WHG-CS",1723.71700964575,"8","EN"
"121","Other_all","COD-CS",NA,"1","FR"
"122","Other_all","HAD-CS",5782.63472942629,"2","FR"
"123","Other_all","MON-CS",12388.6143797847,"3","FR"
"124","Other_all","N-HKE",12693.6851091717,"4","FR"
"125","Other_all","N-MEG",10595.8914595207,"5","FR"
"126","Other_all","SOL-7E",15709.829160833,"6","FR"
"127","Other_all","SOL-7FG",7906.0577099748,"7","FR"
"128","Other_all","WHG-CS",9507.19512529965,"8","FR"
"129","Otter_all","COD-CS",NA,"1","FR"
"130","Otter_all","HAD-CS",NA,"2","FR"
"131","Otter_all","MON-CS",4363.48682891986,"3","FR"
"132","Otter_all","N-HKE",4675.8663557744,"4","FR"
"133","Otter_all","N-MEG",3473.8001916049,"5","FR"
"134","Otter_all","SOL-7E",5824.16746843869,"6","FR"
"135","Otter_all","SOL-7FG",2877.33098899055,"7","FR"
"136","Otter_all","WHG-CS",4034.87418613055,"8","FR"
"137","Beam_10<24m","COD-CS",0,"1","IE"
"138","Beam_10<24m","HAD-CS",287.369157994721,"2","IE"
"139","Beam_10<24m","MON-CS",400.201634459302,"3","IE"
"140","Beam_10<24m","N-HKE",328.210346801545,"4","IE"
"141","Beam_10<24m","N-MEG",288.760704375383,"5","IE"
"142","Beam_10<24m","SOL-7E",NA,"6","IE"
"143","Beam_10<24m","SOL-7FG",68.9195151558263,"7","IE"
"144","Beam_10<24m","WHG-CS",443.258235067939,"8","IE"
"145","Beam_24<40m","COD-CS",0,"1","IE"
"146","Beam_24<40m","HAD-CS",1304.84811967763,"2","IE"
"147","Beam_24<40m","MON-CS",1817.18300551143,"3","IE"
"148","Beam_24<40m","N-HKE",1490.29442432582,"4","IE"
"149","Beam_24<40m","N-MEG",1311.20333894132,"5","IE"
"150","Beam_24<40m","SOL-7E",NA,"6","IE"
"151","Beam_24<40m","SOL-7FG",312.940680161042,"7","IE"
"152","Beam_24<40m","WHG-CS",2012.68876102094,"8","IE"
"153","Static_24<40m","COD-CS",NA,"1","SP"
"154","Static_24<40m","HAD-CS",NA,"2","SP"
"155","Static_24<40m","MON-CS",376.243091613226,"3","SP"
"156","Static_24<40m","N-HKE",437.937794248974,"4","SP"
"157","Static_24<40m","N-MEG",NA,"5","SP"
"158","Static_24<40m","SOL-7E",NA,"6","SP"
"159","Static_24<40m","SOL-7FG",NA,"7","SP"
"160","Static_24<40m","WHG-CS",NA,"8","SP"
